x_ProjectCode,x_BH_ID,x_Motherhole,x_HoleType,x_MaxDepth,x_DepthFrom,x_DepthTo,x_Date,x_Cr2O3_%,x_FeO_%,x_SiO2_%,x_MgO_%,x_Al2O3_%,x_CaO_%,x_P_%,x_Au_ICP_ppm,x_Pt_ICP_ppm,x_Pd_ICP_ppm,x_Rh_ICP_ppm,x_Ir_ICP_ppm,x_Ru_ICP_ppm,y_Level1,y_Level2
J1095,SC11 D1,SC11,deflection,247.5,242.09,243.08,08. Sep 09,43.91,24.05,2.75,10.05,14.17,0.27,0.01,0.01,0.38,0.05,0.12,0.08,0.4,LG,6
J1098,SC11 D4,SC11,deflection,247.5,242.39,242.45,03. Sep 13,,,,,,,,0.01,0.42,0.05,0.14,0.08,0.32,LG,6
J1099,SC11 D5,SC11,deflection,247.5,242.53,242.79,03. Sep 13,,,,,,,,0.01,0.35,0.07,0.13,0.09,0.39,LG,6
J1100,SC11 D6,SC11,deflection,247.5,242.83,243.08,03. Sep 13,,,,,,,,0.01,0.35,0.05,0.13,0.08,0.44,LG,6
J1095,SC12 D1,SC12,deflection,407.3,402.2,403.53,08. Sep 09,45.2,26.21,2.26,10.45,14.47,0.15,0.01,0.01,0.43,0.05,0.1,0.07,0.44,LG,6
J1095,SC13 D1,SC13,deflection,434.68,429.69,430.64,08. Sep 09,43.71,25.24,1.81,10.54,15.09,0.21,0.01,0.01,0.32,0.05,0.12,0.09,0.52,LG,6
J1095,SC14 D1,SC14,deflection,349.34,344.4,345.23,08. Sep 09,44.14,25.24,3.87,10.36,14.64,0.33,0.01,0.01,0.37,0.04,0.13,0.08,0.42,LG,6
J1095,SC15 D1,SC15,deflection,343.65,338.74,339.74,08. Sep 09,46.17,25.48,1.66,10.63,15.11,0.22,0.01,0.01,0.33,0.06,0.13,0.08,0.54,LG,6
J1096,SC16 D2,SC16,deflection,352.75,347.67,348.58,08. Sep 09,46.37,26.24,2.19,10.12,14.92,0.26,0.01,0.01,0.3,0.04,0.13,0.1,0.65,LG,6
J1095,SC17 D1,SC17,deflection,231.71,230.42,231.41,08. Sep 09,44.59,25.83,2.45,10.19,14.95,0.3,0.01,0.01,0.33,0.04,0.12,0.07,0.52,LG,6
J1095,SC18 D1,SC18,deflection,343.52,338.71,339.58,08. Sep 09,44.83,25.5,2.15,10.02,14.93,0.29,0.01,0.01,0.31,0.06,0.12,0.07,0.49,LG,6
J1096,SC19 D2,SC19,deflection,356.18,351.25,352.19,08. Sep 09,45.51,25.48,2.09,10.29,15.21,0.29,0.01,0.02,0.33,0.06,0.14,0.09,0.58,LG,6
J1096,SC20 D2,SC20,deflection,161.83,157.13,158.1,08. Sep 09,45.0,26.21,2.18,10.15,14.99,0.24,0.01,0.02,0.37,0.1,0.15,0.1,0.56,LG,6
J1095,SC21 D1,SC21,deflection,183.03,178.04,178.77,08. Sep 09,45.62,24.49,3.42,11.22,14.73,0.3,0.01,0.01,0.3,0.06,0.12,0.08,0.48,LG,6
J1095,SC22 D1,SC22,deflection,166.0,160.99,161.93,08. Sep 09,0.3,7.01,51.44,11.46,21.49,6.2,0.01,0.01,0.22,0.04,0.1,0.07,0.4,LG,6
J1095,SC23 D1,SC23,deflection,162.5,158.28,159.2,08. Sep 09,44.18,25.21,3.14,10.69,14.97,0.3,0.01,0.01,0.32,0.04,0.05,0.03,0.22,LG,6
J1095,SC24 D1,SC24,deflection,162.0,156.93,157.86,08. Sep 09,43.57,24.62,2.5,9.85,14.58,0.25,0.01,0.01,0.28,0.05,0.11,0.08,0.46,LG,6
J1095,SC25 D1,SC25,deflection,150.8,145.83,146.7,08. Sep 09,44.02,25.61,2.46,10.16,14.83,0.3,0.01,0.01,0.32,0.06,0.1,0.08,0.42,LG,6
J1095,SC26 D1,SC26,deflection,334.27,329.19,330.33,08. Sep 09,43.94,25.89,2.34,10.32,15.06,0.3,0.01,0.01,0.31,0.07,0.12,0.08,0.51,LG,6
J1096,SC27 D2,SC27,deflection,227.82,222.54,223.56,08. Sep 09,43.26,23.95,5.77,10.72,16.17,0.27,0.01,0.01,0.29,0.04,0.11,0.08,0.45,LG,6
J1096,SC28A D2,SC28A,deflection,328.26,323.51,324.53,08. Sep 09,44.84,25.34,0.27,11.28,15.38,0.26,0.01,0.01,0.32,0.05,0.14,0.09,0.49,LG,6
J1095,SC29 D1,SC29,deflection,246.86,242.05,243.03,08. Sep 09,44.44,25.47,2.44,10.51,15.47,0.22,0.01,0.01,0.32,0.05,0.13,0.1,0.61,LG,6
J1097,SC29 D3,SC29,deflection,246.86,242.63,243.03,07. Okt 13,,,,,,,,0.01,0.33,0.07,0.14,0.09,0.46,LG,6
J1095,SC30 D1,SC30,deflection,168.11,162.92,163.96,08. Sep 09,44.27,25.78,3.04,10.49,15.9,0.24,0.01,0.01,0.35,0.05,0.14,0.09,0.65,LG,6
J1097,SC30 D3,SC30,deflection,168.11,163.26,163.96,07. Okt 13,,,,,,,,0.01,0.32,0.05,0.13,0.09,0.5,LG,6
J1095,SC31 D1,SC31,deflection,251.77,246.76,247.69,08. Sep 09,47.58,25.09,2.2,10.23,14.7,0.21,0.01,0.01,0.33,0.05,0.13,0.09,0.47,LG,6
J1112,SC32,SC32,borehole,369.0,147.55,147.96,07. Okt 13,,,,,,,,0.01,0.3,0.04,0.12,0.09,0.5,LG,6
J1096,SC32 D2,SC32,deflection,151.5,146.49,147.89,08. Sep 09,44.86,25.1,2.69,10.54,15.05,0.31,0.01,0.01,0.33,0.1,0.14,0.1,0.61,LG,6
J1099,SC32 D5,SC32,deflection,151.5,147.58,147.75,19. Sep 13,,,,,,,,0.01,0.34,0.05,0.14,0.09,0.54,LG,6
J1095,SC33 D1,SC33,deflection,305.5,300.75,301.62,08. Sep 09,47.26,25.79,1.93,10.16,14.95,0.29,0.01,0.01,0.36,0.05,0.14,0.09,0.48,LG,6
J1095,SC35 D1,SC35,deflection,168.87,164.08,165.03,08. Sep 09,44.63,25.72,2.15,10.52,14.92,0.24,0.01,0.01,0.34,0.06,0.11,0.08,0.42,LG,6
J1095,SC36 D1,SC36,deflection,159.0,154.22,155.14,08. Sep 09,42.38,24.32,8.95,10.65,13.52,0.25,0.01,0.01,0.33,0.03,0.09,0.08,0.48,LG,6
J1095,SC37 D1,SC37,deflection,146.2,141.65,142.24,08. Sep 09,41.97,24.26,5.67,10.55,17.07,0.3,0.01,0.01,0.32,0.06,0.11,0.07,0.46,LG,6
J1096,SC38 D2,SC38,deflection,242.15,239.84,240.74,08. Sep 09,45.12,25.77,2.13,10.34,14.95,0.24,0.01,0.01,0.38,0.03,0.13,0.09,0.55,LG,6
J1095,SC39 D1,SC39,deflection,356.08,350.9,351.79,08. Sep 09,43.22,24.87,2.79,10.81,14.84,0.27,0.01,0.01,0.3,0.03,0.11,0.08,0.55,LG,6
J1129,SC40,SC40,borehole,564.8,339.63,340.13,19. Sep 13,,,,,,,,0.01,0.31,0.03,0.12,0.08,0.52,LG,6
J1095,SC40 D1,SC40,deflection,344.4,339.5,340.36,08. Sep 09,46.09,26.16,1.81,10.14,14.88,0.24,0.01,0.01,0.28,0.02,0.12,0.09,0.58,LG,6
J1098,SC40 D4,SC40,deflection,344.4,340.22,340.4,19. Sep 13,,,,,,,,0.01,0.32,0.02,0.12,0.09,0.6,LG,6
J1095,SC41 D1,SC41,deflection,420.05,413.74,414.94,08. Sep 09,46.12,25.56,2.23,10.27,15.23,0.3,0.01,0.01,0.31,0.07,0.13,0.1,0.72,LG,6
J1140,SC42,SC42,borehole,577.5,352.19,352.86,19. Sep 13,,,,,,,,0.01,0.33,0.04,0.11,0.09,0.6,LG,6
J1095,SC42 D1,SC42,deflection,355.61,352.52,353.16,08. Sep 09,43.95,25.35,2.53,10.22,15.01,0.32,0.01,0.01,0.32,0.05,0.11,0.09,0.57,LG,6
J1096,SC43 D2,SC43,deflection,436.46,431.59,432.5,08. Sep 09,45.76,25.28,1.57,10.5,15.04,0.2,0.01,0.01,0.31,0.06,0.12,0.09,0.59,LG,6
J1095,SC45 D1,SC45,deflection,417.17,412.33,413.08,08. Sep 09,44.33,25.38,2.9,10.93,15.12,0.27,0.01,0.01,0.4,0.11,0.09,0.08,0.49,LG,6
J1096,SC46 D2,SC46,deflection,235.4,381.5,382.48,08. Sep 09,43.56,25.29,2.03,10.36,15.43,0.28,0.01,0.01,0.28,0.04,0.09,0.07,0.36,LG,6
J1095,SC47 D1,SC47,deflection,245.7,238.97,239.77,08. Sep 09,45.0,26.02,1.79,10.18,15.01,0.24,0.01,0.01,0.3,0.04,0.11,0.07,0.43,LG,6
J1096,SC48 D2,SC48,deflection,293.79,288.71,289.62,08. Sep 09,44.74,25.74,2.04,10.1,15.07,0.29,0.01,0.01,0.33,0.06,0.13,0.09,0.6,LG,6
J1096,SC49 D2,SC49,deflection,133.25,128.33,129.26,08. Sep 09,44.2,25.29,1.77,10.63,15.48,0.28,0.01,0.01,0.32,0.05,0.13,0.09,0.54,LG,6
J1095,SC50 D1,SC50,deflection,196.7,192.75,193.65,08. Sep 09,43.63,24.97,3.72,9.77,14.73,0.33,0.01,0.01,0.39,0.08,0.13,0.09,0.56,LG,6
J1095,SC51 D1,SC51,deflection,423.23,418.26,419.14,08. Sep 09,43.35,23.95,4.16,11.37,15.48,0.22,0.0,0.01,0.35,0.06,0.13,0.09,0.5,LG,6
J1095,SC52 D1,SC52,deflection,127.4,123.85,124.75,08. Sep 09,43.5,25.26,3.02,10.28,14.84,0.45,0.03,0.01,0.32,0.07,0.14,0.08,0.44,LG,6
J1095,SC53 D1,SC53,deflection,420.53,415.86,416.8,08. Sep 09,47.83,25.39,1.99,9.92,14.2,0.21,0.01,0.01,0.32,0.05,0.12,0.07,0.43,LG,6
J1095,SC54 D1,SC54,deflection,313.5,309.52,310.39,08. Sep 09,45.13,26.04,1.19,10.27,14.91,0.26,0.01,0.01,0.29,0.05,0.12,0.08,0.47,LG,6
J1095,SC55 D1,SC55,deflection,318.9,315.86,316.52,08. Sep 09,42.74,24.29,4.33,10.72,14.88,0.41,0.0,0.01,0.31,0.04,0.12,0.07,0.42,LG,6
J1095,SC56 D1,SC56,deflection,335.4,330.71,331.52,08. Sep 09,47.6,26.07,2.08,9.9,14.88,0.26,0.01,0.01,0.32,0.05,0.14,0.09,0.55,LG,6
J1095,SC57 D1 ,SC57,deflection,340.45,334.8,335.71,08. Sep 09,44.46,24.8,3.26,11.11,15.34,0.3,0.01,0.01,0.3,0.06,0.13,0.07,0.41,LG,6
J1095,SC58 D1 ,SC58,deflection,402.5,399.68,400.5,08. Sep 09,44.93,25.29,0.84,11.78,15.67,0.33,0.01,0.01,0.34,0.05,0.15,0.09,0.51,LG,6
J1095,SC65 D1,SC65,deflection,262.17,256.43,257.36,08. Sep 09,48.55,24.64,1.69,10.21,14.59,0.18,0.01,0.01,0.32,0.05,0.12,0.08,0.51,LG,6
J1095,SC66 D1,SC66,deflection,391.5,385.37,386.28,08. Sep 09,42.14,24.02,6.64,10.18,16.73,0.31,0.01,0.01,0.38,0.06,0.13,0.08,0.51,LG,6
J1095,SC67 D1,SC67,deflection,508.75,281.32,282.4,08. Sep 09,43.65,25.64,2.4,10.12,14.76,0.32,0.01,0.01,0.33,0.06,0.13,0.09,0.52,LG,6
J1473,ZK100,ZK100,borehole,23.47,20.71,21.07,09. Nov 09,40.51,26.56,3.97,9.26,13.41,1.71,0.0,0.01,0.26,0.12,0.1,0.07,0.37,LG,6
J1473,ZK102,ZK102,borehole,30.36,28.89,29.76,09. Nov 09,28.97,25.37,16.11,11.56,10.8,3.47,0.0,0.01,0.27,0.08,0.1,0.06,0.35,LG,6
J1477,ZK103,ZK103,borehole,48.56,46.69,47.11,09. Nov 09,40.4,26.97,5.24,9.89,13.85,1.19,0.0,0.01,0.36,0.22,0.14,0.1,0.65,LG,6
J1478,ZK103,ZK103,borehole,48.56,47.25,47.64,09. Nov 09,41.55,26.86,5.41,10.14,14.53,0.71,0.0,0.01,0.5,0.29,0.18,0.1,0.49,LG,6
J1476,ZK105,ZK105,borehole,34.0,30.32,31.04,09. Nov 09,40.75,26.61,4.66,9.56,14.63,1.54,0.0,0.02,0.38,0.09,0.14,0.1,0.51,LG,6
J1095,ZK23 D1 ,ZK23,deflection,288.0,283.73,284.67,08. Sep 09,44.44,25.03,3.77,10.92,14.75,0.19,0.01,0.01,0.4,0.07,0.13,0.07,0.49,LG,6
J1095,ZK24 D1 ,ZK24,deflection,287.8,282.85,283.77,08. Sep 09,46.19,25.97,2.22,10.43,15.09,0.24,0.0,0.01,0.38,0.09,0.12,0.06,0.48,LG,6
J1095,ZK25 D1,ZK25,deflection,370.45,368.2,369.14,08. Sep 09,44.19,24.42,4.49,10.73,14.37,0.51,0.01,0.01,0.53,0.1,0.16,0.1,0.6,LG,6
J1095,ZK32 D1,ZK32,deflection,190.4,186.03,186.66,04. Okt 13,,,,,,,,0.01,0.32,0.04,0.21,0.06,0.38,LG,6
J1095,ZK32 D1 ,ZK32,deflection,190.4,185.69,186.64,08. Sep 09,45.39,25.65,2.95,10.52,14.7,0.27,0.01,0.01,0.34,0.04,0.17,0.08,0.55,LG,6
J1095,ZK35 D1,ZK35,deflection,136.3,130.6,131.54,08. Sep 09,43.68,25.64,2.72,10.88,15.04,0.26,0.01,0.01,0.27,0.03,0.16,0.05,0.36,LG,6
J1095,ZK36 D1 ,ZK36,deflection,176.0,169.76,170.59,08. Sep 09,45.12,25.64,3.19,10.46,15.16,0.26,0.01,0.01,0.31,0.1,0.14,0.08,0.49,LG,6
J1095,ZK37 D1 ,ZK37,deflection,204.0,198.24,199.11,08. Sep 09,46.59,26.01,2.43,10.72,14.99,0.24,0.01,0.01,0.29,0.08,0.15,0.07,0.45,LG,6
J1095,ZK38 D1 ,ZK38,deflection,400.25,397.33,398.16,08. Sep 09,45.8,25.38,3.08,11.42,14.9,0.17,0.01,0.01,0.34,0.08,0.13,0.09,0.52,LG,6
J1095,ZK39 D1,ZK39,deflection,280.45,275.1,275.5,08. Sep 09,45.16,25.86,2.11,10.21,14.57,0.55,0.01,0.01,0.28,0.08,0.11,0.09,0.6,LG,6
J1095,ZK42 D1 ,ZK42,deflection,165.07,159.88,160.71,08. Sep 09,42.73,24.11,5.13,11.26,14.58,1.09,0.1,0.01,0.29,0.08,0.11,0.07,0.36,LG,6
J1095,ZK43 D1,ZK43,deflection,225.3,220.19,221.09,08. Sep 09,46.02,26.28,1.51,10.18,14.82,0.25,0.01,0.01,0.32,0.05,0.16,0.08,0.48,LG,6
J1095,ZK44 D1 ,ZK44,deflection,349.5,343.04,344.04,08. Sep 09,45.04,25.17,2.17,10.7,14.78,0.19,0.0,0.01,0.41,0.11,0.14,0.09,0.45,LG,6
J1095,ZK45 D1 ,ZK45,deflection,242.25,237.67,238.53,08. Sep 09,45.82,23.58,5.44,9.47,14.07,0.1,0.0,0.01,0.42,0.09,0.18,0.1,0.7,LG,6
J1095,ZK46 D1  ,ZK46,deflection,386.54,381.5,382.48,23. Feb 09,44.43,24.96,1.65,10.01,14.83,0.13,0.0,0.01,0.33,0.08,0.15,0.08,0.54,LG,6
J1095,ZK47 D1 ,ZK47,deflection,140.34,136.1,137.03,08. Sep 09,46.26,25.65,2.25,10.16,14.96,0.23,0.0,0.01,0.32,0.04,0.13,0.08,0.47,LG,6
J1095,ZK48 D1 ,ZK48,deflection,316.2,310.61,311.59,08. Sep 09,44.1,25.83,1.75,9.89,14.97,0.23,0.01,0.01,0.34,0.06,0.12,0.07,0.49,LG,6
J1095,ZK50 D1,ZK50,deflection,390.8,386.22,387.17,08. Sep 09,43.27,24.91,4.14,10.16,11.42,1.11,0.01,0.01,0.4,0.06,0.14,0.08,0.53,LG,6
J1095,ZK51 D1,ZK51,deflection,182.84,178.03,178.94,08. Sep 09,43.56,25.57,1.74,10.04,15.2,0.28,0.01,0.01,0.38,0.07,0.14,0.07,0.5,LG,6
J1095,ZK54 D1,ZK54,deflection,217.45,213.37,214.31,08. Sep 09,47.46,25.18,2.32,10.29,14.81,0.23,0.01,0.04,0.36,0.08,0.12,0.07,0.42,LG,6
J1095,ZK63 D1,ZK63,deflection,193.35,187.78,188.74,08. Sep 09,43.76,25.84,1.86,10.16,14.8,0.22,0.0,0.01,0.34,0.08,0.12,0.07,0.47,LG,6
J1095,ZK67 D1,ZK67,deflection,14.4,11.41,12.34,08. Sep 09,48.09,25.23,2.22,10.25,14.32,0.22,0.0,0.01,0.34,0.1,0.14,0.09,0.47,LG,6
J1095,ZK68 D1  ,ZK68,deflection,225.65,220.79,221.53,08. Sep 09,46.86,26.26,1.63,10.53,14.84,0.11,0.0,0.01,0.31,0.09,0.12,0.08,0.49,LG,6
J1095,ZK70 D1,ZK70,deflection,298.5,291.45,292.62,08. Sep 09,44.73,25.88,2.66,10.52,14.85,0.35,0.01,0.01,0.35,0.1,0.13,0.08,0.48,LG,6
J1095,ZK71 D1,ZK71,deflection,15.18,422.3,423.22,07. Okt 13,,,,,,,,0.01,0.34,0.09,0.12,0.08,0.43,LG,6
J1095,ZK72 D1,ZK72,deflection,193.3,188.95,189.81,08. Sep 09,44.76,25.52,3.08,10.89,15.0,0.3,0.01,0.01,0.29,0.06,0.17,0.09,0.48,LG,6
J1095,ZK74 D1 ,ZK74,deflection,366.5,363.2,364.0,08. Sep 09,44.7,24.8,3.26,10.17,14.69,0.33,0.0,0.01,0.43,0.09,0.14,0.09,0.49,LG,6
J1095,ZK75 D1 ,ZK75,deflection,103.69,99.65,100.69,08. Sep 09,46.89,25.56,1.9,10.24,14.73,0.22,0.01,0.01,0.38,0.07,0.14,0.08,0.47,LG,6
J1095,ZK76 D1,ZK76,deflection,283.5,277.81,278.59,08. Sep 09,46.31,25.84,1.98,9.76,14.7,0.2,0.01,0.01,0.33,0.03,0.15,0.07,0.44,LG,6
J1476,ZK91,ZK91,borehole,20.33,16.33,16.91,09. Nov 09,42.79,27.64,1.11,9.56,14.61,0.89,0.0,0.01,0.37,0.08,0.12,0.08,0.46,LG,6
J1478,ZK93,ZK93,borehole,23.27,21.25,22.07,09. Nov 09,41.73,26.76,1.76,9.41,15.16,1.37,0.0,0.01,0.34,0.12,0.12,0.08,0.48,LG,6
J1473,ZK94,ZK94,borehole,21.38,20.35,21.13,17. Sep 13,41.78,24.83,2.42,10.32,13.57,1.41,0.0,0.01,0.31,0.13,0.14,0.1,0.62,LG,6
J1480,ZK94B,ZK94B,borehole,24.07,19.94,20.07,07. Okt 13,,,,,,,,0.01,0.36,0.1,0.12,0.07,0.5,LG,6
J1481,ZK94B,ZK94B,borehole,24.07,20.35,20.48,07. Okt 13,,,,,,,,0.01,0.3,0.12,0.12,0.09,0.6,LG,6
J1475,ZK94B,ZK94B,borehole,24.07,22.11,22.32,09. Nov 09,15.11,16.83,33.69,20.32,7.99,1.98,0.0,0.01,0.36,0.13,0.13,0.08,0.47,LG,6
J1478,ZK95,ZK95,borehole,26.47,24.79,25.42,09. Nov 09,40.56,25.83,4.91,9.92,14.32,1.14,0.0,0.01,0.27,0.06,0.11,0.07,0.39,LG,6
J1472,ZK97,ZK97,borehole,28.0,25.19,26.12,09. Nov 09,36.9,25.54,7.04,10.35,12.8,2.43,0.0,0.01,0.35,0.09,0.13,0.07,0.41,LG,6
J1473,ZK98,ZK98,borehole,22.93,21.08,21.66,09. Nov 09,36.64,25.76,5.29,9.2,13.05,3.69,0.0,0.01,0.33,0.14,0.12,0.09,0.45,LG,6
J1478,ZK99,ZK99,borehole,22.02,20.12,20.91,09. Nov 09,37.17,25.55,4.11,9.32,13.64,3.53,0.0,0.01,0.35,0.11,0.11,0.08,0.42,LG,6
J1095,ZK60,ZK60,borehole,277.65,42.64,42.81,17. Feb 09,43.73,24.85,3.38,10.66,14.89,0.16,0.0,0.01,0.34,0.22,0.12,0.1,0.5,LG,6A
J1472,ZK100,ZK100,borehole,23.47,15.74,16.0,07. Okt 13,,,,,,,,0.01,0.37,0.08,0.11,0.08,0.52,LG,6A
J1479,ZK103,ZK103,borehole,48.56,41.5,41.74,09. Nov 09,40.49,26.86,4.1,8.75,14.68,2.12,0.0,0.01,0.37,0.07,0.13,0.1,0.52,LG,6A
J1481,RD04,RD04,borehole,51.63,13.4,13.48,13. Jan 10,37.76,23.07,13.64,8.24,12.45,0.52,0.02,0.01,0.38,0.12,0.09,0.08,0.46,LG,6A
J1479,ZK104,ZK104,borehole,20.86,12.47,12.97,09. Nov 09,31.93,24.18,14.53,11.04,12.34,1.22,0.0,0.01,0.4,0.09,0.12,0.11,0.55,LG,6A
J1479,EL04,EL04,borehole,37.34,23.55,23.59,09. Nov 09,22.61,17.33,13.55,17.16,9.71,6.24,0.0,0.01,0.41,0.15,0.12,0.1,0.56,LG,6A
J1474,ZK94,ZK94,borehole,21.38,14.53,14.69,17. Sep 13,36.17,24.62,8.23,11.75,13.47,1.38,0.0,0.01,0.41,0.11,0.12,0.1,0.49,LG,6A
J1476,RD01,RD01,borehole,16.48,6.88,7.04,09. Nov 09,38.28,24.65,10.28,8.26,12.59,1.03,0.0,0.01,0.42,0.15,0.09,0.09,0.54,LG,6A
J1474,ZK98,ZK98,borehole,22.93,16.08,16.24,09. Nov 09,35.98,25.31,7.94,9.59,13.08,1.91,0.0,0.01,0.42,0.13,0.13,0.09,0.51,LG,6A
J1095,ZK33,ZK33,borehole,53.8,9.07,9.34,23. Dez 08,39.98,24.25,7.24,10.03,12.24,2.06,0.0,0.01,0.43,0.11,0.16,0.1,0.61,LG,6A
J1479,ZK95,ZK95,borehole,26.47,18.93,19.12,09. Nov 09,42.65,26.77,4.55,10.45,15.41,0.66,0.0,0.01,0.43,0.21,0.13,0.1,0.56,LG,6A
J1095,ZK31,ZK31,borehole,58.5,17.46,17.71,23. Dez 08,42.59,24.66,4.07,10.02,14.21,1.79,0.0,0.01,0.45,0.28,0.28,0.09,0.6,LG,6A
J1479,ZK99,ZK99,borehole,22.02,14.42,14.71,09. Nov 09,37.59,24.83,6.41,8.31,11.58,5.01,0.0,0.01,0.45,0.11,0.13,0.1,0.5,LG,6A
J1478,MD18 D7,MD18,deflection,525.14,497.02,497.29,17. Sep 13,40.88,25.82,5.7,10.88,14.5,0.86,0.0,0.01,0.47,0.16,0.24,0.12,0.61,LG,6A
J1474,ZK102,ZK102,borehole,30.36,24.18,24.42,09. Nov 09,38.77,25.44,5.71,9.49,13.9,2.57,0.0,0.01,0.47,0.13,0.13,0.1,0.5,LG,6A
J1473,ZK97,ZK97,borehole,28.0,19.38,19.62,09. Nov 09,36.58,24.71,11.14,10.03,12.35,1.22,0.0,0.01,0.47,0.12,0.13,0.11,0.5,LG,6A
J1474,ZK100,ZK100,borehole,23.47,15.74,16.0,09. Nov 09,33.39,23.28,7.35,9.52,12.2,3.75,0.0,0.01,0.48,0.16,0.14,0.1,0.52,LG,6A
J1095,ZK29,ZK29,borehole,67.5,23.98,24.2,23. Dez 08,43.22,25.03,3.87,9.76,13.64,0.41,0.0,0.01,0.5,0.26,0.15,0.09,0.56,LG,6A
J1110,ZK75,ZK75,borehole,322.7,92.42,92.61,17. Feb 09,43.56,25.25,4.0,11.13,14.7,0.42,0.0,0.01,0.5,0.25,0.15,0.11,0.63,LG,6A
J1100,ZK27,ZK27,borehole,70.5,32.16,32.43,23. Dez 08,44.87,23.89,3.46,10.16,13.11,0.77,0.0,0.01,0.51,0.1,0.12,0.1,0.6,LG,6A
J1112,ZK71,ZK71,borehole,618.11,415.96,416.19,11. Feb 09,43.48,24.88,4.44,10.67,14.24,0.74,0.0,0.01,0.51,0.24,0.18,0.13,0.8,LG,6A
J1518,MD17,MD17,borehole,645.33,446.88,447.19,17. Sep 13,38.19,24.22,8.26,11.47,13.05,0.74,0.0,0.01,0.52,0.17,0.26,0.13,0.66,LG,6A
J1112,SC69,SC69,borehole,325.46,275.16,275.41,17. Sep 13,42.46,25.16,4.01,11.34,16.2,0.31,0.0,0.01,0.52,0.12,0.15,0.13,0.72,LG,6A
J1488,MD18 D18,MD18,deflection,525.7,496.76,497.04,17. Sep 13,40.92,26.08,4.94,10.66,13.55,1.07,0.0,0.01,0.53,0.17,0.26,0.13,0.64,LG,6A
J1476,RD03,RD03,borehole,36.05,27.82,28.06,09. Nov 09,39.27,26.07,6.91,10.75,14.21,0.8,0.0,0.01,0.53,0.22,0.14,0.11,0.6,LG,6A
J1477,RD08,RD08,borehole,19.38,12.19,12.39,09. Nov 09,41.29,26.69,4.78,9.0,14.82,0.62,0.0,0.01,0.53,0.13,0.1,0.1,0.61,LG,6A
J1100,ZK26A,ZK26A,borehole,71.8,28.53,28.77,23. Dez 08,43.48,25.27,4.19,9.37,13.34,1.03,0.0,0.06,0.54,0.17,0.09,0.04,0.34,LG,6A
J1479,ZK93,ZK93,borehole,23.27,15.53,15.58,09. Nov 09,42.94,27.05,4.23,9.67,14.86,0.54,0.0,0.01,0.54,0.2,0.16,0.07,0.31,LG,6A
J1095,ZK66,ZK66,borehole,90.35,40.89,41.15,11. Feb 09,43.92,25.44,3.28,10.47,14.72,0.25,0.0,0.01,0.55,0.24,0.17,0.11,0.66,LG,6A
J1480,EL20,EL20,borehole,32.33,23.71,23.93,09. Nov 09,32.98,23.0,9.68,10.56,12.02,3.77,0.0,0.01,0.56,0.11,0.12,0.11,0.69,LG,6A
J1490,MD18,MD18,borehole,524.83,496.75,496.99,17. Sep 13,41.2,27.16,5.2,11.12,14.13,0.47,0.0,0.01,0.56,0.19,0.24,0.14,0.73,LG,6A
J1478,EL19,EL19,borehole,33.78,25.9,26.03,09. Nov 09,39.72,25.93,7.35,9.88,13.56,1.0,0.0,0.01,0.58,0.14,0.13,0.12,0.69,LG,6A
J1502,MD16,MD16,borehole,278.8,44.51,44.7,17. Sep 13,43.63,25.88,4.53,10.51,13.93,0.4,0.0,0.01,0.59,0.27,0.21,0.14,0.73,LG,6A
J1483,RD02B,RD02B,borehole,37.32,27.02,27.28,17. Sep 13,,,,,,,,0.01,0.59,0.19,0.12,0.11,0.63,LG,6A
J1477,EL17,EL17,borehole,16.32,7.24,7.58,09. Nov 09,38.33,26.07,7.62,11.06,14.16,0.51,0.0,0.01,0.6,0.11,0.09,0.09,0.54,LG,6A
J1480,EL18,EL18,borehole,43.08,34.89,35.11,09. Nov 09,31.61,23.18,15.91,13.9,11.85,1.18,0.0,0.01,0.63,0.19,0.15,0.11,0.63,LG,6A
J1477,ZK105,ZK105,borehole,34.0,24.54,24.76,09. Nov 09,41.05,26.2,5.2,10.14,14.24,1.14,0.0,0.01,0.63,0.26,0.19,0.15,0.77,LG,6A
J1102,SC63,SC63,borehole,333.75,168.41,168.74,23. Feb 09,26.53,21.35,18.22,16.28,12.28,1.51,0.0,0.01,0.6,0.28,0.15,0.07,0.28,LG,7
J1104,SC72,SC72,borehole,220.65,51.44,51.68,23. Feb 09,25.55,18.84,22.28,19.25,10.85,1.28,0.0,0.01,0.56,0.19,0.14,0.06,0.27,LG,7
J1119,ZK73,ZK73,borehole,472.65,164.95,165.43,23. Feb 09,23.4,19.2,22.24,17.95,10.69,1.94,0.0,0.01,0.47,0.17,0.12,0.05,0.17,LG,7
J1118,ZK73,ZK73,borehole,472.65,164.21,164.61,23. Feb 09,35.32,22.09,11.33,13.34,13.01,1.21,0.01,0.01,0.47,0.17,0.17,0.1,0.39,LG,7
J1104,ZK74,ZK74,borehole,556.75,212.71,213.21,23. Feb 09,34.28,23.37,10.73,10.47,17.94,2.18,0.0,0.01,1.22,0.2,0.23,0.16,0.61,LG,7
J1103,ZK81,ZK81,borehole,388.6,224.93,225.14,23. Feb 09,20.53,18.49,27.37,19.69,10.22,1.93,0.01,0.01,0.74,0.42,0.17,0.1,0.35,LG,7
